feature_id,timestamp,mask_id,writer_id,x_position,y_position,target_width,measured_width,cd_error,defect_flag,exposure_dose,temperature,humidity,vibration,day,week,month,hour,day_of_week
F_000022,2026-05-01 12:30:00,M_2026_05_01_05,MBMW_03,697.5,271.7,70.0,69.9,-0.1,0,13.92,21.1,50.6,0.043,1,18,5,12,4
F_000023,2026-05-01 12:40:00,M_2026_05_01_05,MBMW_04,1460.7,3743.2,40.0,39.3,-0.7,0,14.22,21.4,51.4,0.048,1,18,5,12,4
F_000024,2026-05-01 12:50:00,M_2026_05_01_05,MBMW_05,1831.8,1587.9,70.0,69.6,-0.4,0,13.61,21.6,48.1,0.014,1,18,5,12,4
F_000025,2026-05-01 13:00:00,M_2026_05_01_05,MBMW_03,2280.3,0.7,80.0,79.8,-0.2,0,13.76,21.6,48.3,0.053,1,18,5,13,4
F_000026,2026-05-01 13:10:00,M_2026_05_01_05,MBMW_04,3925.9,2555.6,70.0,71.9,1.9,0,14.67,21.6,50.3,0.039,1,18,5,13,4
F_000027,2026-05-01 13:20:00,M_2026_05_01_05,MBMW_05,998.4,234.3,70.0,71.7,1.7,0,14.2,21.9,49.9,0.035,1,18,5,13,4
F_000028,2026-05-01 13:30:00,M_2026_05_01_05,MBMW_03,2571.2,1380.8,60.0,59.2,-0.8,0,14.27,21.9,51.2,0.048,1,18,5,13,4
F_000029,2026-05-01 13:40:00,M_2026_05_01_05,MBMW_04,2962.1,3534.9,80.0,85.5,5.5,1,15.35,21.9,48.0,0.049,1,18,5,13,4
F_000030,2026-05-01 13:50:00,M_2026_05_01_05,MBMW_05,232.3,313.4,50.0,50.8,0.8,0,13.26,21.8,48.1,0.029,1,18,5,13,4
F_000031,2026-05-04 09:00:00,M_2026_05_04_03,MBMW_03,3037.7,4196.7,50.0,50.7,0.7,0,13.87,20.9,48.1,0.054,4,19,5,9,0
F_000032,2026-05-04 09:10:00,M_2026_05_04_03,MBMW_04,852.6,19.1,80.0,81.6,1.6,0,14.24,20.7,46.6,0.046,4,19,5,9,0
F_000033,2026-05-04 09:20:00,M_2026_05_04_03,MBMW_05,325.3,1234.1,50.0,51.3,1.3,0,14.09,20.3,48.3,0.031,4,19,5,9,0
F_000034,2026-05-04 09:30:00,M_2026_05_04_03,MBMW_03,4744.4,3704.5,80.0,81.5,1.5,0,13.96,20.8,46.9,0.046,4,19,5,9,0
F_000035,2026-05-04 09:40:00,M_2026_05_04_03,MBMW_04,4828.2,1581.4,50.0,51.6,1.6,0,14.58,20.9,49.9,0.028,4,19,5,9,0
F_000036,2026-05-04 09:50:00,M_2026_05_04_03,MBMW_05,4042.0,509.5,60.0,60.0,0.0,0,13.92,20.7,47.3,0.036,4,19,5,9,0
F_000037,2026-05-04 10:00:00,M_2026_05_04_03,MBMW_03,1523.1,1801.2,50.0,48.6,-1.4,0,13.59,20.7,49.8,0.044,4,19,5,10,0
F_000038,2026-05-04 10:10:00,M_2026_05_04_03,MBMW_04,488.4,1352.0,70.0,70.0,0.0,0,14.34,20.1,52.3,0.039,4,19,5,10,0
F_000039,2026-05-04 10:20:00,M_2026_05_04_03,MBMW_05,3421.2,4213.6,80.0,79.1,-0.9,0,14.03,20.5,50.4,0.012,4,19,5,10,0
F_000040,2026-05-04 10:30:00,M_2026_05_04_03,MBMW_03,2200.8,1566.7,40.0,41.2,1.2,0,13.87,21.1,50.0,0.045,4,19,5,10,0
F_000041,2026-05-04 10:40:00,M_2026_05_04_04,MBMW_04,610.2,3944.7,40.0,39.8,-0.2,0,14.02,20.6,47.0,0.041,4,19,5,10,0
F_000042,2026-05-04 10:50:00,M_2026_05_04_04,MBMW_05,2475.9,4459.4,80.0,78.7,-1.3,0,13.46,20.9,52.5,0.028,4,19,5,10,0
F_000043,2026-05-04 11:00:00,M_2026_05_04_04,MBMW_03,171.9,2169.1,60.0,60.3,0.3,0,13.95,20.7,52.1,0.043,4,19,5,11,0
F_000044,2026-05-04 11:10:00,M_2026_05_04_04,MBMW_04,4546.6,4549.7,50.0,54.9,4.9,1,14.58,21.1,49.6,0.027,4,19,5,11,0
F_000045,2026-05-04 11:20:00,M_2026_05_04_04,MBMW_05,1293.9,1886.6,60.0,57.7,-2.3,0,13.71,21.2,49.2,0.019,4,19,5,11,0
F_000046,2026-05-04 11:30:00,M_2026_05_04_04,MBMW_03,3312.6,4820.4,40.0,39.1,-0.9,0,13.85,21.2,48.3,0.051,4,19,5,11,0
F_000047,2026-05-04 11:40:00,M_2026_05_04_04,MBMW_04,1558.6,446.4,80.0,80.5,0.5,0,14.82,20.8,53.6,0.027,4,19,5,11,0
F_000048,2026-05-04 11:50:00,M_2026_05_04_04,MBMW_05,2600.3,3435.1,80.0,78.2,-1.8,0,13.7,21.3,51.6,0.029,4,19,5,11,0
F_000049,2026-05-04 12:00:00,M_2026_05_04_04,MBMW_03,2733.6,2469.1,60.0,59.5,-0.5,0,14.1,21.8,48.5,0.048,4,19,5,12,0
F_000050,2026-05-04 12:10:00,M_2026_05_04_04,MBMW_04,924.3,1938.2,60.0,59.6,-0.4,0,14.37,21.6,52.2,0.049,4,19,5,12,0
F_000051,2026-05-04 12:20:00,M_2026_05_04_05,MBMW_05,4847.9,3163.6,50.0,56.0,6.0,1,14.19,21.4,52.7,0.012,4,19,5,12,0
F_000052,2026-05-04 12:30:00,M_2026_05_04_05,MBMW_03,3875.7,3519.3,70.0,69.3,-0.7,0,13.92,20.9,49.9,0.033,4,19,5,12,0
F_000053,2026-05-04 12:40:00,M_2026_05_04_05,MBMW_04,4697.5,21.8,70.0,71.1,1.1,0,14.56,21.5,49.2,0.035,4,19,5,12,0
F_000054,2026-05-04 12:50:00,M_2026_05_04_05,MBMW_05,4474.1,834.8,50.0,51.3,1.3,0,14.05,22.1,47.9,0.026,4,19,5,12,0
F_000055,2026-05-04 13:00:00,M_2026_05_04_05,MBMW_03,2989.5,3565.2,70.0,70.9,0.9,0,14.13,22.0,51.2,0.031,4,19,5,13,0
F_000056,2026-05-04 13:10:00,M_2026_05_04_05,MBMW_04,4609.4,3331.9,40.0,42.2,2.2,0,14.62,21.9,48.9,0.045,4,19,5,13,0
F_000057,2026-05-04 13:20:00,M_2026_05_04_05,MBMW_05,442.5,4830.2,70.0,70.2,0.2,0,13.15,21.6,48.8,0.025,4,19,5,13,0
F_000058,2026-05-04 13:30:00,M_2026_05_04_05,MBMW_03,979.9,3805.2,50.0,52.0,2.0,0,14.25,21.9,49.6,0.04,4,19,5,13,0
F_000059,2026-05-04 13:40:00,M_2026_05_04_05,MBMW_04,226.1,4753.9,70.0,72.0,2.0,0,14.56,22.1,47.9,0.03,4,19,5,13,0
F_000060,2026-05-04 13:50:00,M_2026_05_04_05,MBMW_05,1626.7,3512.7,80.0,79.3,-0.7,0,13.91,22.3,52.5,0.036,4,19,5,13,0
F_000061,2026-05-05 09:00:00,M_2026_05_05_03,MBMW_03,1943.4,1490.3,60.0,58.5,-1.5,0,14.1,20.7,50.5,0.036,5,19,5,9,1
F_000062,2026-05-05 09:10:00,M_2026_05_05_03,MBMW_04,1356.7,526.8,40.0,39.8,-0.2,0,14.38,20.9,48.8,0.025,5,19,5,9,1
F_000063,2026-05-05 09:20:00,M_2026_05_05_03,MBMW_05,4143.7,3909.1,80.0,79.2,-0.8,0,14.02,20.6,47.1,0.016,5,19,5,9,1
F_000064,2026-05-05 09:30:00,M_2026_05_05_03,MBMW_03,1783.8,3220.7,80.0,80.2,0.2,0,14.11,20.6,47.4,0.049,5,19,5,9,1
F_000065,2026-05-05 09:40:00,M_2026_05_05_03,MBMW_04,1404.7,240.9,50.0,50.2,0.2,0,14.16,20.6,47.4,0.044,5,19,5,9,1
F_000066,2026-05-05 09:50:00,M_2026_05_05_03,MBMW_05,2713.5,1800.3,60.0,60.5,0.5,0,14.14,20.8,46.8,0.02,5,19,5,9,1
F_000067,2026-05-05 10:00:00,M_2026_05_05_03,MBMW_03,704.6,4784.0,60.0,58.0,-2.0,0,13.62,21.1,50.0,0.035,5,19,5,10,1
F_000068,2026-05-05 10:10:00,M_2026_05_05_03,MBMW_04,4011.0,2502.0,40.0,43.0,3.0,0,14.82,21.0,48.2,0.026,5,19,5,10,1
F_000069,2026-05-05 10:20:00,M_2026_05_05_03,MBMW_05,372.8,2163.6,50.0,50.4,0.4,0,14.2,20.5,48.1,0.029,5,19,5,10,1
F_000070,2026-05-05 10:30:00,M_2026_05_05_03,MBMW_03,4934.4,2288.5,40.0,38.3,-1.7,0,13.72,20.5,48.0,0.037,5,19,5,10,1
F_000071,2026-05-05 10:40:00,M_2026_05_05_04,MBMW_04,3861.2,1044.4,70.0,70.3,0.3,0,14.52,21.2,51.7,0.046,5,19,5,10,1
F_000072,2026-05-05 10:50:00,M_2026_05_05_04,MBMW_05,993.6,1843.5,80.0,81.7,1.7,0,13.69,21.0,48.3,0.013,5,19,5,10,1
F_000073,2026-05-05 11:00:00,M_2026_05_05_04,MBMW_03,27.6,1849.1,40.0,39.8,-0.2,0,14.0,21.1,52.4,0.031,5,19,5,11,1
F_000074,2026-05-05 11:10:00,M_2026_05_05_04,MBMW_04,4077.3,261.8,80.0,83.4,3.4,1,15.11,21.1,49.3,0.023,5,19,5,11,1
F_000075,2026-05-05 11:20:00,M_2026_05_05_04,MBMW_05,3534.3,3837.8,50.0,48.9,-1.1,0,13.43,21.6,47.4,0.035,5,19,5,11,1
F_000076,2026-05-05 11:30:00,M_2026_05_05_04,MBMW_03,3645.0,2082.5,70.0,69.0,-1.0,0,13.97,21.0,50.9,0.05,5,19,5,11,1
F_000077,2026-05-05 11:40:00,M_2026_05_05_04,MBMW_04,3856.4,4110.9,50.0,51.9,1.9,0,15.01,21.5,51.8,0.049,5,19,5,11,1
F_000078,2026-05-05 11:50:00,M_2026_05_05_04,MBMW_05,370.2,4251.7,70.0,69.8,-0.2,0,13.66,21.3,48.3,0.02,5,19,5,11,1
F_000079,2026-05-05 12:00:00,M_2026_05_05_04,MBMW_03,1792.3,1060.0,70.0,70.0,0.0,0,13.78,20.8,50.1,0.036,5,19,5,12,1
F_000080,2026-05-05 12:10:00,M_2026_05_05_04,MBMW_04,579.3,3286.8,80.0,81.7,1.7,0,14.64,21.1,50.6,0.037,5,19,5,12,1
F_000081,2026-05-05 12:20:00,M_2026_05_05_05,MBMW_05,4315.5,2361.4,50.0,48.9,-1.1,0,14.0,21.2,50.2,0.026,5,19,5,12,1
F_000082,2026-05-05 12:30:00,M_2026_05_05_05,MBMW_03,3116.5,4400.8,50.0,49.5,-0.5,0,13.94,21.8,49.0,0.048,5,19,5,12,1
F_000083,2026-05-05 12:40:00,M_2026_05_05_05,MBMW_04,1654.5,1078.7,40.0,40.6,0.6,0,14.73,21.9,51.7,0.03,5,19,5,12,1
F_000084,2026-05-05 12:50:00,M_2026_05_05_05,MBMW_05,317.8,3389.1,50.0,55.3,5.3,1,13.35,21.7,49.4,0.01,5,19,5,12,1
F_000085,2026-05-05 13:00:00,M_2026_05_05_05,MBMW_03,1554.9,3038.8,40.0,40.4,0.4,0,13.67,21.5,48.6,0.031,5,19,5,13,1
F_000086,2026-05-05 13:10:00,M_2026_05_05_05,MBMW_04,1625.9,1476.5,60.0,59.9,-0.1,0,14.43,21.5,46.2,0.04,5,19,5,13,1
F_000087,2026-05-05 13:20:00,M_2026_05_05_05,MBMW_05,3648.0,683.0,60.0,60.1,0.1,0,13.94,22.1,46.2,0.026,5,19,5,13,1
F_000088,2026-05-05 13:30:00,M_2026_05_05_05,MBMW_03,3187.8,3258.2,60.0,62.5,2.5,0,14.3,21.5,50.1,0.055,5,19,5,13,1
F_000089,2026-05-05 13:40:00,M_2026_05_05_05,MBMW_04,4436.1,3693.0,50.0,50.9,0.9,0,14.21,21.9,49.4,0.029,5,19,5,13,1
F_000090,2026-05-05 13:50:00,M_2026_05_05_05,MBMW_05,2361.1,1578.1,50.0,50.6,0.6,0,13.99,22.7,51.2,0.034,5,19,5,13,1
F_000091,2026-05-06 09:00:00,M_2026_05_06_03,MBMW_03,598.0,3224.2,40.0,42.7,2.7,0,14.12,20.5,50.8,0.043,6,19,5,9,2
F_000092,2026-05-06 09:10:00,M_2026_05_06_03,MBMW_04,3566.2,1975.7,70.0,69.7,-0.3,0,14.31,20.3,48.2,0.023,6,19,5,9,2
F_000093,2026-05-06 09:20:00,M_2026_05_06_03,MBMW_05,3803.9,3566.0,40.0,36.7,-3.3,1,13.37,20.1,50.7,0.039,6,19,5,9,2
F_000094,2026-05-06 09:30:00,M_2026_05_06_03,MBMW_03,2806.4,996.1,60.0,61.0,1.0,0,14.14,21.4,47.8,0.045,6,19,5,9,2
F_000095,2026-05-06 09:40:00,M_2026_05_06_03,MBMW_04,3854.8,4451.1,40.0,40.5,0.5,0,14.96,20.8,48.8,0.039,6,19,5,9,2
F_000096,2026-05-06 09:50:00,M_2026_05_06_03,MBMW_05,2469.0,1437.0,70.0,69.4,-0.6,0,13.78,20.5,48.9,0.03,6,19,5,9,2
F_000097,2026-05-06 10:00:00,M_2026_05_06_03,MBMW_03,2613.7,1838.9,50.0,46.5,-3.5,1,13.79,20.7,52.5,0.041,6,19,5,10,2
F_000098,2026-05-06 10:10:00,M_2026_05_06_03,MBMW_04,2137.7,290.5,40.0,38.8,-1.2,0,14.01,20.6,46.9,0.042,6,19,5,10,2
F_000099,2026-05-06 10:20:00,M_2026_05_06_03,MBMW_05,127.1,557.6,60.0,61.0,1.0,0,14.23,20.3,49.6,0.036,6,19,5,10,2
F_000100,2026-05-06 10:30:00,M_2026_05_06_03,MBMW_03,539.5,2579.3,60.0,60.1,0.1,0,14.39,21.1,48.2,0.042,6,19,5,10,2
F_000101,2026-05-06 10:40:00,M_2026_05_06_04,MBMW_04,157.1,1338.0,50.0,51.2,1.2,0,14.67,20.9,49.1,0.04,6,19,5,10,2
F_000102,2026-05-06 10:50:00,M_2026_05_06_04,MBMW_05,3182.1,4177.4,40.0,42.2,2.2,0,14.22,21.2,49.1,0.033,6,19,5,10,2
F_000103,2026-05-06 11:00:00,M_2026_05_06_04,MBMW_03,1571.8,73.5,70.0,69.6,-0.4,0,14.15,21.0,50.0,0.036,6,19,5,11,2
F_000104,2026-05-06 11:10:00,M_2026_05_06_04,MBMW_04,2542.9,1895.5,50.0,50.1,0.1,0,14.42,21.1,52.6,0.03,6,19,5,11,2
F_000105,2026-05-06 11:20:00,M_2026_05_06_04,MBMW_05,4537.8,1686.7,40.0,39.0,-1.0,0,13.95,20.4,53.7,0.013,6,19,5,11,2
F_000106,2026-05-06 11:30:00,M_2026_05_06_04,MBMW_03,1246.5,96.6,80.0,79.3,-0.7,0,13.83,21.4,51.3,0.048,6,19,5,11,2
F_000107,2026-05-06 11:40:00,M_2026_05_06_04,MBMW_04,2051.9,621.8,60.0,60.2,0.2,0,14.28,20.9,48.0,0.044,6,19,5,11,2
F_000108,2026-05-06 11:50:00,M_2026_05_06_04,MBMW_05,3777.8,2068.2,70.0,68.4,-1.6,0,14.01,21.0,49.6,0.028,6,19,5,11,2
F_000109,2026-05-06 12:00:00,M_2026_05_06_04,MBMW_03,1144.0,2464.3,70.0,68.8,-1.2,0,14.34,21.2,50.5,0.035,6,19,5,12,2
F_000110,2026-05-06 12:10:00,M_2026_05_06_04,MBMW_04,384.9,2021.4,70.0,70.1,0.1,0,14.2,20.8,49.2,0.036,6,19,5,12,2
F_000111,2026-05-06 12:20:00,M_2026_05_06_05,MBMW_05,1448.8,2654.7,60.0,59.9,-0.1,0,13.41,21.3,49.4,0.035,6,19,5,12,2
F_000112,2026-05-06 12:30:00,M_2026_05_06_05,MBMW_03,806.1,2975.7,40.0,39.7,-0.3,0,13.95,21.3,49.8,0.039,6,19,5,12,2
F_000113,2026-05-06 12:40:00,M_2026_05_06_05,MBMW_04,4648.5,49.6,50.0,50.5,0.5,0,14.37,21.5,51.5,0.045,6,19,5,12,2
F_000114,2026-05-06 12:50:00,M_2026_05_06_05,MBMW_05,4040.6,2320.5,40.0,40.3,0.3,0,13.93,21.1,50.9,0.034,6,19,5,12,2
F_000115,2026-05-06 13:00:00,M_2026_05_06_05,MBMW_03,3167.0,4817.5,50.0,50.5,0.5,0,14.1,22.0,48.6,0.031,6,19,5,13,2
F_000116,2026-05-06 13:10:00,M_2026_05_06_05,MBMW_04,4357.3,2595.2,70.0,72.8,2.8,0,14.94,21.9,51.0,0.027,6,19,5,13,2
F_000117,2026-05-06 13:20:00,M_2026_05_06_05,MBMW_05,4018.4,3387.7,40.0,37.1,-2.9,0,13.89,21.6,53.1,0.026,6,19,5,13,2
F_000118,2026-05-06 13:30:00,M_2026_05_06_05,MBMW_03,932.9,1559.3,70.0,68.2,-1.8,0,13.9,21.7,46.6,0.052,6,19,5,13,2
F_000119,2026-05-06 13:40:00,M_2026_05_06_05,MBMW_04,4462.8,3870.0,80.0,78.2,-1.8,0,14.02,22.2,48.7,0.046,6,19,5,13,2
F_000120,2026-05-06 13:50:00,M_2026_05_06_05,MBMW_05,2696.7,3864.6,70.0,69.6,-0.4,0,13.85,21.9,48.4,0.029,6,19,5,13,2
F_000121,2026-05-07 09:00:00,M_2026_05_07_03,MBMW_03,4037.2,2606.5,70.0,68.5,-1.5,0,13.58,20.3,48.7,0.041,7,19,5,9,3
F_000122,2026-05-07 09:10:00,M_2026_05_07_03,MBMW_04,4480.5,4880.1,50.0,51.5,1.5,0,14.4,20.6,45.0,0.026,7,19,5,9,3
F_000123,2026-05-07 09:20:00,M_2026_05_07_03,MBMW_05,1590.0,627.8,80.0,79.2,-0.8,0,13.58,20.4,51.6,0.033,7,19,5,9,3
F_000124,2026-05-07 09:30:00,M_2026_05_07_03,MBMW_03,550.3,84.7,70.0,68.4,-1.6,0,13.94,20.5,49.1,0.036,7,19,5,9,3
F_000125,2026-05-07 09:40:00,M_2026_05_07_03,MBMW_04,1139.7,3850.8,70.0,71.1,1.1,0,14.2,20.7,49.7,0.041,7,19,5,9,3
F_000126,2026-05-07 09:50:00,M_2026_05_07_03,MBMW_05,2135.5,4035.8,80.0,80.0,0.0,0,13.58,21.1,49.6,0.015,7,19,5,9,3
F_000127,2026-05-07 10:00:00,M_2026_05_07_03,MBMW_03,4090.1,601.0,80.0,79.9,-0.1,0,14.44,21.4,48.3,0.033,7,19,5,10,3
F_000128,2026-05-07 10:10:00,M_2026_05_07_03,MBMW_04,4303.7,1327.9,40.0,42.6,2.6,0,14.94,21.2,50.8,0.028,7,19,5,10,3
F_000129,2026-05-07 10:20:00,M_2026_05_07_03,MBMW_05,34.8,87.8,50.0,51.1,1.1,0,14.26,20.8,49.5,0.019,7,19,5,10,3
F_000130,2026-05-07 10:30:00,M_2026_05_07_03,MBMW_03,2553.7,1466.5,80.0,79.6,-0.4,0,14.1,21.6,45.5,0.049,7,19,5,10,3
F_000131,2026-05-07 10:40:00,M_2026_05_07_04,MBMW_04,2087.1,3865.7,80.0,82.3,2.3,0,14.68,21.1,49.5,0.025,7,19,5,10,3
F_000132,2026-05-07 10:50:00,M_2026_05_07_04,MBMW_05,1110.5,2589.8,60.0,62.8,2.8,0,14.15,20.7,49.2,0.038,7,19,5,10,3
F_000133,2026-05-07 11:00:00,M_2026_05_07_04,MBMW_03,599.3,1740.5,80.0,79.6,-0.4,0,13.66,21.1,51.2,0.047,7,19,5,11,3
F_000134,2026-05-07 11:10:00,M_2026_05_07_04,MBMW_04,1688.1,1858.7,50.0,51.6,1.6,0,14.84,20.9,55.0,0.035,7,19,5,11,3
F_000135,2026-05-07 11:20:00,M_2026_05_07_04,MBMW_05,4714.5,6.8,70.0,70.9,0.9,0,14.19,20.8,50.7,0.023,7,19,5,11,3
F_000136,2026-05-07 11:30:00,M_2026_05_07_04,MBMW_03,1616.0,1499.0,70.0,69.1,-0.9,0,13.84,20.8,54.2,0.047,7,19,5,11,3
F_000137,2026-05-07 11:40:00,M_2026_05_07_04,MBMW_04,2594.0,3232.3,70.0,73.7,3.7,1,15.02,21.2,48.6,0.021,7,19,5,11,3
F_000138,2026-05-07 11:50:00,M_2026_05_07_04,MBMW_05,3515.1,4871.0,70.0,72.0,2.0,0,14.42,21.5,48.8,0.04,7,19,5,11,3
F_000139,2026-05-07 12:00:00,M_2026_05_07_04,MBMW_03,1818.1,4235.3,60.0,59.9,-0.1,0,14.34,21.7,49.5,0.047,7,19,5,12,3
F_000140,2026-05-07 12:10:00,M_2026_05_07_04,MBMW_04,4858.9,118.0,80.0,80.7,0.7,0,14.79,21.0,50.8,0.021,7,19,5,12,3
F_000141,2026-05-07 12:20:00,M_2026_05_07_05,MBMW_05,4812.2,4492.8,70.0,70.2,0.2,0,13.47,21.4,48.7,0.028,7,19,5,12,3
F_000142,2026-05-07 12:30:00,M_2026_05_07_05,MBMW_03,1258.9,3916.0,40.0,41.6,1.6,0,14.43,21.7,46.7,0.043,7,19,5,12,3
F_000143,2026-05-07 12:40:00,M_2026_05_07_05,MBMW_04,2486.2,3901.9,70.0,68.6,-1.4,0,14.3,21.6,50.0,0.021,7,19,5,12,3
F_000144,2026-05-07 12:50:00,M_2026_05_07_05,MBMW_05,1504.4,2290.0,80.0,89.1,9.1,1,13.92,21.9,47.6,0.117,7,19,5,12,3
F_000145,2026-05-07 13:00:00,M_2026_05_07_05,MBMW_03,1424.2,1990.0,70.0,69.4,-0.6,0,14.25,21.6,52.1,0.03,7,19,5,13,3
F_000146,2026-05-07 13:10:00,M_2026_05_07_05,MBMW_04,184.4,1514.6,60.0,58.4,-1.6,0,13.62,22.2,51.1,0.037,7,19,5,13,3
F_000147,2026-05-07 13:20:00,M_2026_05_07_05,MBMW_05,3047.8,328.5,50.0,50.5,0.5,0,13.93,21.9,48.2,0.039,7,19,5,13,3
F_000148,2026-05-07 13:30:00,M_2026_05_07_05,MBMW_03,2513.4,1141.2,50.0,52.3,2.3,0,14.9,22.1,50.5,0.037,7,19,5,13,3
F_000149,2026-05-07 13:40:00,M_2026_05_07_05,MBMW_04,257.4,1233.0,80.0,79.3,-0.7,0,13.99,21.9,48.4,0.028,7,19,5,13,3
F_000150,2026-05-07 13:50:00,M_2026_05_07_05,MBMW_05,1393.2,2420.4,50.0,50.7,0.7,0,13.8,22.1,49.3,0.01,7,19,5,13,3
F_000151,2026-05-08 09:00:00,M_2026_05_08_03,MBMW_03,4541.3,3737.2,50.0,47.6,-2.4,0,13.53,20.2,48.5,0.032,8,19,5,9,4
F_000152,2026-05-08 09:10:00,M_2026_05_08_03,MBMW_04,1197.8,2369.0,40.0,40.1,0.1,0,14.35,20.4,48.0,0.021,8,19,5,9,4
F_000153,2026-05-08 09:20:00,M_2026_05_08_03,MBMW_05,724.5,289.2,80.0,79.1,-0.9,0,13.24,20.6,50.5,0.035,8,19,5,9,4
F_000154,2026-05-08 09:30:00,M_2026_05_08_03,MBMW_03,2447.3,4788.9,80.0,80.5,0.5,0,14.17,20.8,46.7,0.055,8,19,5,9,4
F_000155,2026-05-08 09:40:00,M_2026_05_08_03,MBMW_04,4928.3,4713.6,50.0,53.9,3.9,1,14.86,21.6,50.2,0.042,8,19,5,9,4
F_000156,2026-05-08 09:50:00,M_2026_05_08_03,MBMW_05,1210.3,3925.9,50.0,50.0,0.0,0,13.94,20.7,49.8,0.021,8,19,5,9,4
F_000157,2026-05-08 10:00:00,M_2026_05_08_03,MBMW_03,3360.7,4956.6,50.0,50.5,0.5,0,13.84,20.4,46.5,0.055,8,19,5,10,4
F_000158,2026-05-08 10:10:00,M_2026_05_08_03,MBMW_04,3808.1,2722.4,60.0,60.9,0.9,0,14.44,21.4,47.8,0.036,8,19,5,10,4
F_000159,2026-05-08 10:20:00,M_2026_05_08_03,MBMW_05,1188.2,4813.8,70.0,69.5,-0.5,0,13.9,21.2,47.3,0.019,8,19,5,10,4
F_000160,2026-05-08 10:30:00,M_2026_05_08_03,MBMW_03,3641.1,378.0,60.0,60.0,0.0,0,13.85,20.6,48.9,0.043,8,19,5,10,4
